area_type,availability,location,size,society,dist_mainroad,street_type,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Vinayaka Layout,5 BHK,V htsji,91,Paved,2700,4.0,,170.0
Super built-up  Area,18-Jan,Hosa Road,3 BHK,Pamesy ,162,No Access,1730,3.0,2.0,72.6
Built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,88,Gravel,1950,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Thirumalashettyhally,2 BHK,Srcha S,172,No Access,1077,2.0,1.0,34.46
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Stide B,80,Gravel,1706,3.0,2.0,115.0
Built-up  Area,Ready To Move,New Gurappana Palya,5 BHK,,78,Gravel,3000,4.0,0.0,300.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,161,Gravel,1093,2.0,1.0,37.0
Super built-up  Area,Ready To Move,Ambalipura,4 BHK,,97,Gravel,2750,4.0,,142.0
Super built-up  Area,18-Feb,Whitefield,2 BHK,BrlisCo,165,Gravel,1340,2.0,1.0,101.0
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,189,Gravel,984,2.0,1.0,59.0
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,DSutyng,63,No Access,1135,2.0,2.0,68.0
Plot  Area,18-Dec,Bannerghatta Road,4 Bedroom,Putere ,172,Gravel,2400,4.0,1.0,344.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,MKllei ,132,Paved,1155,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,159,Gravel,700,1.0,0.0,35.0
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Maows M,38,Gravel,1150,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Hormavu,3 BHK,ARureig,175,Gravel,1385,2.0,1.0,69.25
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,9,No Access,2061,4.0,2.0,175.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,30,Paved,1335,2.0,3.0,73.43
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Goner C,66,No Access,1015,2.0,1.0,60.0
Built-up  Area,Ready To Move,Banashankari Stage III,6 Bedroom,,13,Gravel,3000,6.0,2.0,150.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,34,Paved,1108,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,,124,No Access,1180,2.0,1.0,105.0
Super built-up  Area,18-Sep,Hennur Road,3 BHK,Maity W,129,Gravel,1445,2.0,1.0,83.0
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,102,Paved,1500,2.0,2.0,65.0
Plot  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,,132,Paved,1Grounds,1.0,1.0,48.0
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,153,No Access,1085,2.0,1.0,46.5
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,114,Paved,1050,2.0,2.0,52.08
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,,84,Paved,2760,4.0,2.0,290.0
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,125,No Access,1330,2.0,1.0,49.0
Plot  Area,18-May,Ramagondanahalli,2 Bedroom,,12,Paved,845,2.0,1.0,45.82
Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,61,No Access,1762,3.0,3.0,112.0
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Dimes E,118,Gravel,1303,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,103,Paved,1560,2.0,2.0,125.0
Super built-up  Area,19-Jan,Chandapura,3 BHK,SuVue S,171,Gravel,1110,2.0,2.0,29.97
Super built-up  Area,18-May,Doddabanahalli,3 BHK,,24,Paved,1290,3.0,2.0,45.33
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Loals P,0,No Access,1160 - 1315,2.0,0.0,49.49
Super built-up  Area,18-Mar,9th Phase JP Nagar,3 BHK,HMigond,136,Gravel,1780,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,158,No Access,1636,3.0,2.0,83.0
Built-up  Area,18-May,Hennur,4 Bedroom,Asoilul,52,No Access,2557,,,170.0
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,DShtsow,116,Gravel,1332,2.0,2.0,101.0
Super built-up  Area,Ready To Move,Sadashiva Nagar,5 BHK,,128,Paved,7500,5.0,2.0,1500.0
Built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,178,Paved,1012,2.0,2.0,59.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Reunee ,131,No Access,1192,2.0,2.0,53.5
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,144,Gravel,795,2.0,1.0,32.54
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,146,No Access,1213,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,CoLeoen,6,No Access,1489,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Ahownve,92,Paved,1200,2.0,2.0,62.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,,79,Paved,1140,2.0,2.0,28.5
Super built-up  Area,18-Apr,Devanahalli,3 BHK,Brrds O,197,Paved,1200,2.0,1.0,55.08
Super built-up  Area,18-Aug,Ananth Nagar,2 BHK,,31,Paved,1200,2.0,1.0,36.0
Plot  Area,Ready To Move,Vidyaranyapura,5 Bedroom,,157,Gravel,2640,6.0,1.0,225.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,32,Gravel,1650,3.0,1.0,94.0
Plot  Area,Ready To Move,Bharathnagar,2 Bedroom,,115,No Access,1245,2.0,1.0,120.0
Super built-up  Area,Ready To Move,Ardendale,2 BHK,AWharde,47,Paved,1224,2.0,2.0,67.0
Super built-up  Area,18-Aug,Gunjur,2 BHK,BMineis,38,No Access,1235,2.0,2.0,52.76
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,77,No Access,1200,2.0,2.0,45.6
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCs 2rj,55,Gravel,1342,2.0,2.0,75.0
Plot  Area,Ready To Move,9th Phase JP Nagar,3 Bedroom,,181,Paved,600,3.0,2.0,79.0
Built-up  Area,Ready To Move,TC Palaya,2 BHK,GilomSh,176,Gravel,1800,2.0,2.0,80.0
Plot  Area,Ready To Move,HAL 2nd Stage,4 Bedroom,,132,No Access,2280,4.0,2.0,615.0
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,148,No Access,2440,2.0,0.0,415.0
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,159,Paved,1130,2.0,1.0,46.33
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,183,No Access,1186,2.0,3.0,72.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,133,No Access,1295,2.0,1.0,64.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,11,No Access,1535,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,159,Gravel,905,2.0,1.0,65.0
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,23,Gravel,1447,2.0,1.0,75.97
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,144,Paved,1165,2.0,1.0,40.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,105,No Access,1328,2.0,2.0,107.0
Super built-up  Area,Ready To Move,Gandhi Bazar,3 BHK,,3,No Access,1485,2.0,3.0,110.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,31,Gravel,1475,2.0,3.0,59.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,AuRISa ,23,Gravel,1175,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,154,Gravel,1245,2.0,2.0,100.0
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,,52,Paved,720,4.0,1.0,95.0
Super built-up  Area,20-Nov,Rachenahalli,2 BHK,AsNowre,31,No Access,985,2.0,1.0,49.97
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,180,No Access,4000,5.0,0.0,800.0
Super built-up  Area,Ready To Move,Hoskote,3 BHK,VRiewke,136,No Access,1395,2.0,2.0,63.0
Super built-up  Area,21-Dec,Hoodi,1 BHK,GoAirej,128,Paved,706 - 716,1.0,0.0,42.65
Super built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,68,Gravel,630,1.0,1.0,40.5
Super built-up  Area,Ready To Move,MS Pallya,4 BHK,,41,No Access,2400,4.0,1.0,88.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,,117,Paved,1170,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,155,No Access,2500,5.0,2.0,181.0
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,,97,No Access,1100,2.0,2.0,49.5
Super built-up  Area,18-Mar,Hulimavu,4 BHK,Vapasrk,67,Paved,3560,5.0,3.0,318.0
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,134,No Access,900,2.0,0.0,55.0
Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,,169,No Access,1160,2.0,1.0,33.51
Super built-up  Area,18-Jan,Varthur,2 BHK,Muistry,5,No Access,1180,2.0,2.0,55.0
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,27,Paved,1441,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Channasandra Layout,2 BHK,Aconyit,165,Gravel,1115,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Goandn ,80,Gravel,1825,3.0,2.0,145.0
Carpet  Area,Ready To Move,Challaghatta,2 BHK,,18,Paved,1489,2.0,0.0,101.0
Super built-up  Area,Ready To Move,Defence Colony,4 BHK,,123,Gravel,2800,4.0,3.0,365.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,46,Paved,1278,3.0,2.0,62.71
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,,27,No Access,1223,2.0,2.0,42.81
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,4,No Access,1065,2.0,1.0,50.92
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,110,Gravel,1190,2.0,1.0,64.0
Super built-up  Area,22-Jun,Koramangala,2 BHK,,63,Gravel,1130,2.0,2.0,63.0
Super built-up  Area,18-Apr,Banashankari,2 BHK,Bregae ,45,Gravel,1430,2.0,2.0,87.8
Built-up  Area,Ready To Move,HRBR Layout,4 BHK,Aples M,95,No Access,1900,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSlesSp,107,Gravel,1104,2.0,1.0,34.22
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,170,Gravel,1240,2.0,2.0,45.88
Built-up  Area,Ready To Move,Choodasandra,2 BHK,GRlpank,164,Gravel,1140,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,122,Gravel,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,26,Gravel,1464,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Sarjapur,4 BHK,Prldsum,133,Gravel,3508,6.0,2.0,425.0
Super built-up  Area,Ready To Move,KR Puram,3 BHK,KeureSi,83,Paved,1700,3.0,3.0,105.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,28,Gravel,2658,5.0,3.0,189.0
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,DencyRe,142,Paved,1600,2.0,1.0,90.0
Super built-up  Area,Ready To Move,OMBR Layout,4 BHK,,94,Paved,3400,4.0,2.0,275.0
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,3 BHK,Sariana,131,Paved,1508,3.0,1.0,75.0
Built-up  Area,18-Jan,Balagere,1 BHK,Soresea,118,Gravel,645,1.0,1.0,41.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,110,Gravel,1046,2.0,1.0,60.0
Plot  Area,Ready To Move,Munnekollal,10 Bedroom,,32,No Access,1200,8.0,3.0,230.0
Built-up  Area,Ready To Move,5th Block Jayanagar,1 Bedroom,,110,No Access,1500,1.0,1.0,300.0
Built-up  Area,Ready To Move,Mahalakshmi Puram,6 Bedroom,,189,Gravel,3000,6.0,3.0,300.0
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,53,Gravel,1079,2.0,1.0,32.37
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Soowsa ,176,Paved,975,2.0,1.0,50.0
Built-up  Area,Ready To Move,ISRO Layout,2 BHK,Foinade,64,Gravel,1050,2.0,1.0,51.0
Plot  Area,Ready To Move,HSR Layout,9 Bedroom,,28,No Access,1200,9.0,0.0,350.0
Super built-up  Area,Ready To Move,"Jayanagar, ",3 BHK,,138,No Access,1903,3.0,2.0,165.0
Built-up  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,188,Paved,2940Sq. Yards,3.0,1.0,232.0
Super built-up  Area,Ready To Move,Asthagrama Layout,2 BHK,,63,Gravel,1200,2.0,2.0,38.0
Super built-up  Area,Ready To Move,Avalahalli,4 BHK,Sohea A,98,Paved,2996,4.0,3.0,200.0
Built-up  Area,Ready To Move,Manayata Tech Park,4 BHK,,188,Paved,3400,4.0,,200.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,1,Gravel,2000,4.0,1.0,312.0
Plot  Area,Ready To Move,Jigani,4 Bedroom,,40,No Access,1453,4.0,1.0,160.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,,128,Gravel,1092,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyavuHo,52,Paved,1400,2.0,0.0,75.0
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,Rerelve,2,No Access,1416,2.0,1.0,85.0
Built-up  Area,Ready To Move,ITI Layout,3 BHK,BMityre,131,Paved,1602,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Music C,64,Gravel,1100,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,156,Gravel,1760,3.0,,110.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,73,Paved,3800,4.0,3.0,235.0
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,9,Paved,1037,2.0,1.0,36.28
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,142,No Access,1384,2.0,2.0,76.18
Super built-up  Area,22-Jan,Vajarahalli,1 BHK,,187,Gravel,551,1.0,1.0,30.0
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,,102,Gravel,2400,5.0,,1250.0
Plot  Area,Ready To Move,7th Phase JP Nagar,1 Bedroom,,161,Gravel,500,1.0,0.0,70.0
Super built-up  Area,18-Apr,Sarjapur,2 BHK,SNityVe,102,Paved,900,2.0,2.0,27.98
Plot  Area,Ready To Move,Anandapura,3 Bedroom,,41,Paved,1415,2.0,1.0,74.0
Super built-up  Area,18-Mar,Rajarajesheari nagar,2 BHK,,174,No Access,1400,2.0,1.0,44.8
Plot  Area,Ready To Move,Devara Jeevanahalli,7 Bedroom,,74,No Access,1300,4.0,1.0,52.0
Built-up  Area,Ready To Move,Millers Road,3 BHK,,176,No Access,2850,4.0,3.0,460.0
Built-up  Area,Ready To Move,Kudlu,2 BHK,MJinala,12,Gravel,1030,2.0,2.0,75.0
Built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,43,Gravel,883,2.0,1.0,39.0
Super built-up  Area,Ready To Move,Celebrity Paradise Layout,1 BHK,,54,No Access,550,1.0,1.0,16.0
Super built-up  Area,Ready To Move,Anjanapura,4 BHK,,13,Paved,1800,4.0,2.0,55.0
Plot  Area,Ready To Move,Yemlur,5 Bedroom,Epllan ,105,Paved,10000,5.0,,1950.0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,164,No Access,1210,2.0,1.0,77.0
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,,137,Paved,2000,3.0,0.0,90.0
Super built-up  Area,21-Oct,Kanakpura Road,3 BHK,PrarePa,181,Gravel,1100,3.0,1.0,58.0
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,,160,No Access,1780,3.0,1.0,100.0
Plot  Area,Ready To Move,2nd Block Hbr Layout,5 Bedroom,,3,Gravel,950,5.0,2.0,55.0
Built-up  Area,Ready To Move,Panathur,2 BHK,,63,Gravel,1050,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Collsrn,82,Paved,1370,3.0,3.0,38.36
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,88,Gravel,3951,4.0,3.0,230.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,BhreeBa,103,Gravel,2500,4.0,2.0,112.0
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2 BHK,,196,No Access,1050,2.0,1.0,49.5
Super built-up  Area,Ready To Move,Anjanapura,3 BHK,,114,Gravel,1843,3.0,1.0,87.54
Plot  Area,Ready To Move,3rd Block Banashankari,4 Bedroom,,32,Gravel,1200,4.0,1.0,175.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,179,Gravel,1186,2.0,1.0,76.0
Super built-up  Area,18-Aug,Haralur Road,1 BHK,SNnia E,13,No Access,560,1.0,1.0,45.0
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,AriosHe,184,Gravel,2357,3.0,2.0,135.0
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,150,Paved,1200,3.0,1.0,160.0
Super built-up  Area,20-Jan,Yelahanka,3 BHK,Aduil T,107,Paved,1823,3.0,2.0,103.0
Built-up  Area,Ready To Move,Rajasree Layout,3 BHK,Itbhaa ,120,Paved,1310,3.0,3.0,90.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,CaestSr,84,No Access,1520,2.0,2.0,60.0
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,Rosha I,56,Paved,1610,3.0,1.0,74.03
Plot  Area,18-Aug,Whitefield,3 Bedroom,,183,No Access,1500,3.0,1.0,78.57
Super built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,MCrds S,141,No Access,1400,2.0,2.0,80.0
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,,148,No Access,1625,3.0,2.0,120.0
Plot  Area,Ready To Move,Chikkalasandra,5 Bedroom,,163,Paved,1500,5.0,3.0,265.0
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,,58,Gravel,900,2.0,1.0,24.0
Built-up  Area,Ready To Move,Talaghattapura,2 BHK,,172,Gravel,1100,2.0,0.0,32.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,145,Gravel,1000,2.0,1.0,50.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,130,No Access,2774,4.0,3.0,197.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,Vaarai ,96,Paved,994,2.0,0.0,54.67
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,ARncy R,19,Gravel,1455,3.0,3.0,75.0
Plot  Area,Ready To Move,Chandapura,5 Bedroom,Arncyd ,161,No Access,1200,3.0,1.0,79.0
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,124,Paved,1172,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Hennur,3 BHK,,121,Paved,1935,3.0,2.0,102.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Ameur G,92,No Access,1856,3.0,3.0,106.0
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,,100,Gravel,2392,3.0,2.0,249.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gaent R,51,Gravel,900,2.0,2.0,35.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,ChionCo,180,Paved,1757,3.0,3.0,98.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,,125,No Access,1027,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,7,Gravel,1626,3.0,3.0,85.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,2 BHK,,22,Paved,1200,2.0,1.0,54.0
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,159,No Access,1559,3.0,1.0,81.55
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,103,No Access,1190,2.0,2.0,50.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,SVlesas,105,No Access,1200,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,76,No Access,1174,2.0,1.0,74.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,20,Gravel,1140,2.0,1.0,65.0
Built-up  Area,Ready To Move,Vibuthipura,3 BHK,Tantsod,59,Gravel,1603,2.0,0.0,125.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,181,Gravel,1278,3.0,2.0,70.0
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3 BHK,RahtsHe,68,No Access,2180,3.0,,285.0
Super built-up  Area,Ready To Move,Banashankari Stage III,2 BHK,DatroGo,108,Gravel,1085,2.0,1.0,50.0
Super built-up  Area,19-Jun,Whitefield,2 BHK,Pae 2ov,130,No Access,1195,2.0,1.0,61.36
Plot  Area,Ready To Move,Kamakshipalya,1 Bedroom,,37,No Access,450,1.0,0.0,30.0
Super built-up  Area,19-Jan,Rajaji Nagar,4 BHK,,91,Gravel,6500,5.0,2.0,1400.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,172,Paved,550,1.0,1.0,11.5
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,AriosPa,53,No Access,1165,2.0,2.0,45.0
Super built-up  Area,Ready To Move,1st Stage Indira Nagar,4 BHK,,181,No Access,3000,4.0,2.0,301.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,125,No Access,1452,3.0,3.0,60.0
Super built-up  Area,18-Jan,Sarjapur  Road,1 BHK,SJityaz,14,Paved,702,1.0,1.0,52.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,101,Paved,1020,2.0,1.0,42.83
Super built-up  Area,18-May,Devanahalli,2 BHK,Derdsig,22,Paved,1340,2.0,1.0,65.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,164,Gravel,1125,2.0,1.0,54.8
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,42,Gravel,1160,2.0,1.0,40.53
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,DSestil,165,Gravel,1050,2.0,1.0,50.0
Super built-up  Area,19-Dec,JP Nagar,3 BHK,Shestut,16,Paved,1960,3.0,1.0,138.0
Built-up  Area,Ready To Move,Ganga Nagar,2 BHK,,177,Gravel,1200,3.0,2.0,52.0
Plot  Area,Ready To Move,Judicial Layout,3 Bedroom,,57,No Access,1200,4.0,1.0,220.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,195,Gravel,3496,4.0,,262.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MavanK ,128,No Access,975,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Kudlu,3 BHK,MJinala,164,Gravel,1700,3.0,3.0,125.0
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,,94,No Access,1800,4.0,0.0,230.0
Plot  Area,Ready To Move,Madavara,4 Bedroom,,128,No Access,612,3.0,0.0,47.0
Built-up  Area,Ready To Move,Brooke Bond First Cross,2 BHK,Viium E,125,Paved,1275,2.0,3.0,69.0
Built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,,39,Paved,650,1.0,0.0,40.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,26,Paved,1495,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,67,Gravel,1200,2.0,2.0,48.0
Plot  Area,Ready To Move,Sarjapura - Attibele Road,5 Bedroom,,115,Paved,3750,6.0,2.0,295.0
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,62,No Access,1679,3.0,2.0,94.86
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,,125,Gravel,1450,3.0,2.0,75.0
Super built-up  Area,18-Nov,Balagere,2 BHK,Soresea,30,Gravel,1210,2.0,1.0,82.0
Super built-up  Area,18-May,Dwaraka Nagar,3 BHK,,89,Gravel,1300,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Judicial Layout,2 BHK,,82,Gravel,1165,2.0,1.0,49.61
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,61,Paved,1623,3.0,3.0,155.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,49,Gravel,1115,2.0,1.0,35.8
Super built-up  Area,Ready To Move,BTM Layout,1 BHK,,142,Gravel,450,1.0,1.0,20.0
Super built-up  Area,18-Apr,Electronics City Phase 1,2 BHK,Shitt S,169,No Access,1170,2.0,1.0,62.0
Built-up  Area,Ready To Move,KR Puram,4 Bedroom,Caxusnd,110,Paved,2065,4.0,0.0,248.0
Built-up  Area,Ready To Move,Marathahalli,3 BHK,,12,Gravel,1700,3.0,2.0,126.0
Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,,17,Paved,1080,5.0,2.0,160.0
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,SoncyRe,56,Paved,1245,2.0,1.0,55.0
Built-up  Area,19-Dec,Kanakapura,2 BHK,GoityEt,132,Gravel,1017,2.0,1.0,66.0
Plot  Area,Ready To Move,7th Phase JP Nagar,6 Bedroom,,84,No Access,650,6.0,2.0,80.0
Super built-up  Area,18-Mar,Sarjapur  Road,2 BHK,SJityaz,105,Gravel,1242,2.0,1.0,75.0
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,79,Gravel,1792,3.0,1.0,104.0
Super built-up  Area,18-Aug,Garebhavipalya,3 BHK,,11,Gravel,1275,3.0,2.0,55.0
Plot  Area,Ready To Move,8th Phase JP Nagar,6 Bedroom,,181,No Access,1200,6.0,1.0,260.0
Plot  Area,Ready To Move,7th Block Jayanagar,3 Bedroom,,87,Gravel,2400,3.0,0.0,408.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Sidin J,139,Paved,605,1.0,1.0,22.0
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,,103,Gravel,1200,4.0,2.0,115.0
Super built-up  Area,18-Dec,Electronics City Phase 1,3 BHK,Shitt S,5,No Access,1450,3.0,2.0,79.0
Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,Prana S,70,No Access,1232,3.0,1.0,96.0
Plot  Area,Ready To Move,Laggere,5 Bedroom,,19,No Access,1800,5.0,0.0,70.0
Built-up  Area,Ready To Move,Sidedahalli,1 Bedroom,,101,No Access,900,1.0,1.0,52.3
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,182,No Access,1200,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Kadugodi,4 BHK,,51,No Access,2100,3.0,,204.0
Super built-up  Area,18-Aug,Uttarahalli,2 BHK,DSera S,128,Paved,1065,2.0,1.0,42.6
Super built-up  Area,Ready To Move,AGS Layout,2 BHK,,22,Gravel,1075,2.0,1.0,48.38
